Course ID,Title,Short Intro,Category,Sub-Category,Course Type,Language,Skills,Instructors,Rating,Number of viewers,Site,Subtitle_language_count,Duration in hours,count of column,,
0,Machine Learning Specialization,"#BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by AI visionary Andrew Ng",Data Science,Machine Learning,Specialization,English,"DecisionTrees,ArtificialNeuralNetwork,LogisticRegression,RecommenderSystems,LinearRegression,RegularizationtoAvoidOverfitting,GradientDescent,SupervisedLearning,LogisticRegressionforClassification,Xgboost,Tensorflow,TreeEnsembles,","Andrew Ng ,Eddy Shyu ,Aarti Bagul ,Geoff Ladwig ,",4.9,10438,Coursera,1,180,12,,
1,Introduction to Data Science Specialization,Launch your career in data science. Gain foundational data science skills to prepare for a career or further advanced learning in data science. ,Data Science,Data Analysis,Specialization,English,"DataScience,RelationalDatabaseManagementSystem(RDBMS),CloudDatabases,PythonProgramming,SQL,DeepLearning,MachineLearning,BigData,DataMining,Github,Jupyternotebooks,Rstudio,","Rav Ahuja ,Alex Aklson ,Aije Egwaikhide ,Svetlana Levitan ,Romeo Kienzler ,Polong Lin ,Hima Vasudevan ,",4.7,11927,Coursera,11,300,12,,
2,Data Science Fundamentals with Python and SQL Specialization,"Build the Foundation for your Data Science career. Develop hands-on experience with Jupyter, Python, SQL. Perform Statistical Analysis on real data sets.",Data Science,Data Analysis,Specialization,English,"DataScience,Github,PythonProgramming,Jupyternotebooks,Rstudio,DataAnalysis,Pandas,Numpy,ProbabilityAndStatistics,RegressionAnalysis,DataVisualization(DataViz),StatisticalHypothesisTesting,","Aije Egwaikhide ,Svetlana Levitan ,Romeo Kienzler ,Joseph Santarcangelo ,Azim Hirjani ,Murtaza Haider ,Rav Ahuja ,Hima Vasudevan ,",4.6,2295,Coursera,11,420,12,,
3,Key Technologies for Business Specialization,Get Ahead with Key Business Technologies. Gain Foundational Understanding of Key Technologies Driving Modern Businesses ,Business,Business Essentials,Specialization,English,"DataScience,ArtificialIntelligence(AI),Business,CloudComputing,technology,CloudNative,Devops,IaasPaaSSaas,HybridMulticloud,DeepLearning,Jobs,MachineLearning,","Rav Ahuja ,Alex Aklson ,",4.7,1232,Coursera,10,180,12,,
4,Deep Learning Specialization,Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,Data Science,Machine Learning,Specialization,English,"ArtificialNeuralNetwork,ConvolutionalNeuralNetwork,Tensorflow,RecurrentNeuralNetwork,Transformers,DeepLearning,Backpropagation,PythonProgramming,NeuralNetworkArchitecture,MathematicalOptimization,hyperparametertuning,InductiveTransfer,","Andrew Ng ,Kian Katanforoosh ,Younes Bensouda Mourri ,",4.9,129253,Coursera,16,300,12,,
5,IBM & Darden Digital Strategy Specialization,Get ahead with key business and technical skills. Understand how current technologies are changing industry and create strategy to transform your business,Data Science,Machine Learning,Specialization,English,"DataScience,Digitaltransformation,ArtificialIntelligence(AI),BusinessStrategy,CloudComputing,DeepLearning,Jobs,MachineLearning,strategy,SwotAnalysis,ValueProposition,Competitiveness,","Rav Ahuja ,Jared Harris ,Michael Lenox ,Rajkumar Venkatesan ,Yael Grushka-Cockayne  ,",4.8,262,Coursera,9,420,12,,
6,IBM AI Foundations for Business Specialization,,Data Science,Machine Learning,Specialization,English,"DataScience,ArtificialIntelligence(AI),InformationTechnology(IT)Architecture,DataArchitecture,Leadership,DeepLearning,Jobs,MachineLearning,BigData,DataMining,Management,Analytics,","Rav Ahuja ,Alex Aklson ,Mark J Grover ,Ray Lopez, Ph.D. ,",4.7,1076,Coursera,10,120,12,,
7,Data Analysis and Visualization Foundations Specialization,"Get ahead w/ Data Analysis & Visualization skills. Enhance your career by learning to analyze data using Excel spreadsheets, and create stunning visualizations and interactive dashboards with Cognos.",Data Science,Data Analysis,Specialization,English,"DataScience,Spreadsheet,MicrosoftExcel,DataAnalysis,DataVisualization(DataViz),PivotTable,IBMCognosAnalytics,Dashboard,","Rav Ahuja ,Sandip Saha Joy ,Steve Ryan ,Kevin McFaul ,Skills Network ,",4.8,2171,Coursera,9,240,8,,
8,Applied Data Science Specialization,"Get hands-on skills for a career in data science. Learn Python, analyze and visualize data. Apply your skills to data science and machine learning. ",Data Science,Machine Learning,Specialization,English,"DataScience,PythonProgramming,DataAnalysis,Pandas,Numpy,Jupyternotebooks,PredictiveModelling,DataVisualization(DataViz),ModelSelection,DashboardsandCharts,dash,Matplotlib,","Joseph Santarcangelo ,Azim Hirjani ,Saishruthi Swaminathan ,Yan Luo ,",4.6,7175,Coursera,12,360,12,,
9,Data Engineering Foundations Specialization,"Build the Foundation for a Data Engineering Career. Develop hands-on experience with Python, SQL, and Relational Databases and master the fundamentals of the Data Engineering ecosystem. ",Information Technology,Data Management,Specialization,English,"InformationEngineering,PythonProgramming,Extraction,TransformationAndLoading(ETL),RelationalDatabaseManagementSystem(RDBMS),SQL,DataScience,Database(DBMS),NoSQL,DataAnalysis,Pandas,Numpy,Jupyternotebooks,","Rav Ahuja ,Priya Kapoor ,Joseph Santarcangelo ,Ramesh Sannareddy ,Sandip Saha Joy ,Lin Joyner ,Rose Malcolm ,Hima Vasudevan ,",4.7,922,Coursera,4,300,13,,
